directory	filename	size_bytes
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$I17U0NH.jpg	162
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$I2PEKMC.jpg	140
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$I4ZCD1B.jpg	152
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$I5MAMI3.jpg	146
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$I83DM6R.jpg	138
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$IAJL5ZT.jpg	154
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$IBD59C9.jpg	144
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$IEE8NRH.jpg	238
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$IFCA9JS.jpg	140
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$IHZ9Y9V.jpg	224
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$IIZ9S4O.jpg	238
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$IK3JNOB.jpg	148
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$ILBB8OW.jpeg	162
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$IQ3IU91.jpg	142
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$IQAEQBR.jpeg	146
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$IS1EFCA.jpeg	154
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$IVXBVO7.jpg	156
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$IW2RXV2.jpg	164
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$IZ2P10G.jpg	144
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$R17U0NH.jpg	1895678
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$R2PEKMC.jpg	136919
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$R4ZCD1B.jpg	65089
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$R5MAMI3.jpg	8949
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$R83DM6R.jpg	101334
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$RAJL5ZT.jpg	85449
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$RBD59C9.jpg	67969
C:\$Recycle.Bin\S-1-5-21-1130040515-118901743-1539857752-26757	$REE8NRH.jpg	146286
